"SUBJECT"	"MEASUREMENT"	"DECADE"	"ORDER"	"RAITING PLACE"	"COUNTRY"	"ACTUAL TIME"	"DELTA"
"SOYBEAN"	"TONNE_HA"	"decade [2020..2025]"	"HIGHEST"	1	"TUR"	"2020 : 2025"	0.31526673800000005
"SOYBEAN"	"TONNE_HA"	"decade [2020..2025]"	"HIGHEST"	2	"EGY"	"2020 : 2025"	0.274113684
"SOYBEAN"	"TONNE_HA"	"decade [2020..2025]"	"LOWEST"	1	"ETH"	"2020 : 2025"	-0.0023713739999999817
"SOYBEAN"	"THND_TONNE"	"decade [1970..1980]"	"HIGHEST"	1	"NZL"	"1970 : 1980"	0.0
"SOYBEAN"	"THND_TONNE"	"decade [1970..1980]"	"HIGHEST"	2	"NONE"	"NONE"	"NONE"
"SOYBEAN"	"THND_TONNE"	"decade [1970..1980]"	"LOWEST"	1	"NZL"	"1970 : 1980"	0.0
"SOYBEAN"	"THND_TONNE"	"decade [1980..1990]"	"HIGHEST"	1	"NZL"	"1980 : 1990"	0.0
"SOYBEAN"	"THND_TONNE"	"decade [1980..1990]"	"HIGHEST"	2	"NONE"	"NONE"	"NONE"
"SOYBEAN"	"THND_TONNE"	"decade [1980..1990]"	"LOWEST"	1	"NZL"	"1980 : 1990"	0.0
"SOYBEAN"	"THND_TONNE"	"decade [1990..2000]"	"HIGHEST"	1	"WLD"	"1995 : 2000"	37242.8774
"SOYBEAN"	"THND_TONNE"	"decade [1990..2000]"	"HIGHEST"	2	"BRICS"	"1990 : 2000"	23892.98
"SOYBEAN"	"THND_TONNE"	"decade [1990..2000]"	"LOWEST"	1	"MEX"	"1990 : 2000"	-472.6
"SOYBEAN"	"THND_TONNE"	"decade [2000..2010]"	"HIGHEST"	1	"WLD"	"2000 : 2010"	100590.92610000001
"SOYBEAN"	"THND_TONNE"	"decade [2000..2010]"	"HIGHEST"	2	"BRICS"	"2000 : 2010"	41495.8882
"SOYBEAN"	"THND_TONNE"	"decade [2000..2010]"	"LOWEST"	1	"CHN"	"2000 : 2010"	-327.0
"SOYBEAN"	"THND_TONNE"	"decade [2010..2020]"	"HIGHEST"	1	"WLD"	"2010 : 2020"	88817.24190000002
"SOYBEAN"	"THND_TONNE"	"decade [2010..2020]"	"HIGHEST"	2	"BRICS"	"2010 : 2020"	46784.294299999994
"SOYBEAN"	"THND_TONNE"	"decade [2010..2020]"	"LOWEST"	1	"CHN"	"2010 : 2020"	-2373.7470599999997
"SOYBEAN"	"THND_TONNE"	"decade [2020..2025]"	"HIGHEST"	1	"WLD"	"2020 : 2025"	42573.1593
"SOYBEAN"	"THND_TONNE"	"decade [2020..2025]"	"HIGHEST"	2	"BRICS"	"2020 : 2025"	24602.187200000015
"SOYBEAN"	"THND_TONNE"	"decade [2020..2025]"	"LOWEST"	1	"JPN"	"2020 : 2025"	-1.6271925000000067
"SOYBEAN"	"THND_HA"	"decade [1990..2000]"	"HIGHEST"	1	"WLD"	"1995 : 2000"	11597.874790000002
"SOYBEAN"	"THND_HA"	"decade [1990..2000]"	"HIGHEST"	2	"BRICS"	"1990 : 2000"	6852.667939999999
"SOYBEAN"	"THND_HA"	"decade [1990..2000]"	"LOWEST"	1	"IDN"	"1990 : 2000"	-543.198975
"SOYBEAN"	"THND_HA"	"decade [2000..2010]"	"HIGHEST"	1	"WLD"	"2000 : 2010"	29445.75688
"SOYBEAN"	"THND_HA"	"decade [2000..2010]"	"HIGHEST"	2	"BRICS"	"2000 : 2010"	13439.050009999999
"SOYBEAN"	"THND_HA"	"decade [2000..2010]"	"LOWEST"	1	"CHN"	"2000 : 2010"	-790.0
"SOYBEAN"	"THND_HA"	"decade [2010..2020]"	"HIGHEST"	1	"WLD"	"2010 : 2020"	25723.2745
"SOYBEAN"	"THND_HA"	"decade [2010..2020]"	"HIGHEST"	2	"BRICS"	"2010 : 2020"	15777.182290000004
"SOYBEAN"	"THND_HA"	"decade [2010..2020]"	"LOWEST"	1	"CHN"	"2010 : 2020"	-1866.0538230000002
"SOYBEAN"	"THND_HA"	"decade [2020..2025]"	"HIGHEST"	1	"WLD"	"2020 : 2025"	8975.436900000015
"SOYBEAN"	"THND_HA"	"decade [2020..2025]"	"HIGHEST"	2	"BRICS"	"2020 : 2025"	6284.784749999999
"SOYBEAN"	"THND_HA"	"decade [2020..2025]"	"LOWEST"	1	"USA"	"2020 : 2025"	-253.79376999999658
